Part No.,Quantity
"A1567",1000000
"A1616",1000000
"A1632",1000000
"A1568",1000000
"A1004",1000000
"A1635",1000000
"A1634",1000000
"A1608",1000000
"A1600",1000000
"A1011",1000000
"A1013",1000000
"A1014",1000000
"A1879",1000000
"A1015",1000000
"A1604",1000000
"A1017",1000000
"A1019",1000000
"A1021",1000000
"A1023",1000000
"A1025",1000000
"A1026",1000000
"A1027",1000000
"A1029",1000000
"A1030",1000000
"A1573",1000000
"A1153",1000000
"A1154",1000000
"A1546",1000000
"A1543",1000000
"A1613",1000000
"A1046",1000000
"A1048",1000000
"A1049",1000000
"A1640",1000000
"A1544",1000000
"A1641",1000000
"A1545",1000000
"A1064",1000000
"A1642",1000000
"A1643",1000000
"A1068",1000000
"A1069",1000000
"A1070",1000000
"A1071",1000000
"A1072",1000000
"A1073",1000000
"A1075",1000000
"A1621",1000000
"A1644",1000000
"A1092",1000000
"A1645",1000000
"A1094",1000000
"A1096",1000000
"A1097",1000000
"A1098",1000000
"A1099",1000000
"A1100",1000000
"A1101",1000000
"A1102",1000000
"A1103",1000000
"A1104",1000000
"A1105",1000000
"A1107",1000000
"A1108",1000000
"A1109",1000000
"A1110",1000000
"A1113",1000000
"A1114",1000000
"A1116",1000000
"A1117",1000000
"A1119",1000000
"A1123",1000000
"A1124",1000000
"A1125",1000000
"A1127",1000000
"A1128",1000000
"A1130",1000000
"A1131",1000000
"A1132",1000000
"A1133",1000000
"A1134",1000000
"A1135",1000000
"A1136",1000000
"A1139",1000000
"A1141",1000000
"A1646",1000000
"A1143",1000000
"A1144",1000000
"A1146",1000000
"A1147",1000000
"A1148",1000000
"A1150",1000000
"A1151",1000000
"A1639",1000000
"A1554",1000000
"A1155",1000000
"A1156",1000000
"A1157",1000000
"A1158",1000000
"A1653",1000000
"A1161",1000000
"A1162",1000000
"A1499",1000000
"A1165",1000000
"A1166",1000000
"A1168",1000000
"A1647",1000000
"A1174",1000000
"A1484",1000000
"A1176",1000000
"A1179",1000000
"A1180",1000000
"A1181",1000000
"A1182",1000000
"A1183",1000000
"A1184",1000000
"A1185",1000000
"A1186",1000000
"A1187",1000000
"A1188",1000000
"A1189",1000000
"A1190",1000000
"A1192",1000000
"A1193",1000000
"A1195",1000000
"A1196",1000000
"A1197",1000000
"A1198",1000000
"A1200",1000000
"A1201",1000000
"A1203",1000000
"A1204",1000000
"A1205",1000000
"A1206",1000000
"A1207",1000000
"A1211",1000000
"A1213",1000000
"A1215",1000000
"A1218",1000000
"A1219",1000000
"A1220",1000000
"A1221",1000000
"A1649",1000000
"A1223",1000000
"A1226",1000000
"A1227",1000000
"A1718",1000000
"A1229",1000000
"A1231",1000000
"A1232",1000000
"A1233",1000000
"A1234",1000000
"A1236",1000000
"A1237",1000000
"A1238",1000000
"A1240",1000000
"A1241",1000000
"A1242",1000000
"A1243",1000000
"A1244",1000000
"A1248",1000000
"A1249",1000000
"A1251",1000000
"A1253",1000000
"A1255",1000000
"A1259",1000000
"A1261",1000000
"A1262",1000000
"A1263",1000000
"A1264",1000000
"A1266",1000000
"A1267",1000000
"A1270",1000000
"A1272",1000000
"A1273",1000000
"A1274",1000000
"A1276",1000000
"A1599",1000000
"A1280",1000000
"A1650",1000000
"A1615",1000000
"A1283",1000000
"A1284",1000000
"A1563",1000000
"A1287",1000000
"A1564",1000000
"A1565",1000000
"A1566",1000000
"A1293",1000000
"A1297",1000000
"A1298",1000000
"A1301",1000000
"A1303",1000000
"A1304",1000000
"A1307",1000000
"A1309",1000000
"A1312",1000000
"A1313",1000000
"A1651",1000000
"A1315",1000000
"A1316",1000000
"A1317",1000000
"A1320",1000000
"A1321",1000000
"A1323",1000000
"A1328",1000000
"A1329",1000000
"A1603",1000000
"A1652",1000000
"A1338",1000000
"A1350",1000000
"A1351",1000000
"A1353",1000000
"A1354",1000000
"A1355",1000000
"A1356",1000000
"A1357",1000000
"A1358",1000000
"A1360",1000000
"A1361",1000000
"A1364",1000000
"A1548",1000000
"A1370",1000000
"A1375",1000000
"A1376",1000000
"A1378",1000000
"A1380",1000000
"A1385",1000000
"A1549",1000000
"A1550",1000000
"A1399",1000000
"A1401",1000000
"A1402",1000000
"A1403",1000000
"A1407",1000000
"A1408",1000000
"A1409",1000000
"A1410",1000000
"A1411",1000000
"A1412",1000000
"A1413",1000000
"A1414",1000000
"A1415",1000000
"A9999",1000000
"A1417",1000000
"A1418",1000000
"A1419",1000000
"A1420",1000000
"A1421",1000000
"A1422",1000000
"A1425",1000000
"A1633",1000000
"A1428",1000000
"A1429",1000000
"A1431",1000000
"A1434",1000000
"A1435",1000000
"A1436",1000000
"A1437",1000000
"A1438",1000000
"A1607",1000000
"A1440",1000000
"A1509",1000000
"A1551",1000000
"A1553",1000000
"A1572",1000000
"A1446",1000000
"A1447",1000000
"A1448",1000000
"A1452",1000000
"A1453",1000000
"A1455",1000000
"A1456",1000000
"A1458",1000000
"A1459",1000000
"A1611",1000000
"A1558",1000000
"A1559",1000000
"A1574",1000000
"A1560",1000000
"A1631",1000000
"A1654",1000000
"A1486",1000000
"A1487",1000000
"A1488",1000000
"A1490",1000000
"A1491",1000000
"A1492",1000000
"A1496",1000000
"A1547",1000000
"A1602",1000000
"A1655",1000000
"A1505",1000000
"A1349",1000000
"A1605",1000000
"A1575",1000000
"A1614",1000000
"A1512",1000000
"A1561",1000000
"A1517",1000000
"A1612",1000000
"A1519",1000000
"A1520",1000000
"A1606",1000000
"A1525",1000000
"A1526",1000000
"A1530",1000000
"A1531",1000000
"A1532",1000000
"A1533",1000000
"A1534",1000000
"A1536",1000000
"A1539",1000000
"A1619",1000000
"A1518",1000000
"A1876",1000000
"A1576",1000000
"A1577",1000000
"A1578",1000000
"A1579",1000000
"A1580",1000000
"A1581",1000000
"A1582",1000000
"A1583",1000000
"A1585",1000000
"A1586",1000000
"A1587",1000000
"A1588",1000000
"A1589",1000000
"A1590",1000000
"A1591",1000000
"A1593",1000000
"A1594",1000000
"A1595",1000000
"A1596",1000000
"A1597",1000000
"A1598",1000000
"A1609",1000000
"A1617",1000000
"A1618",1000000
"A1622",1000000
"A1623",1000000
"A1624",1000000
"A1625",1000000
"A1178",1000000
"A1626",1000000
"A1628",1000000
"A1629",1000000
"A1630",1000000
"A1636",1000000
"A1637",1000000
"A1656",1000000
"A1657",1000000
"A1658",1000000
"A1659",1000000
"A1660",1000000
"A1661",1000000
"A1662",1000000
"A1666",1000000
"A1668",1000000
"A1667",1000000
"A1669",1000000
"A1670",1000000
"A1671",1000000
"A1672",1000000
"A1673",1000000
"A1674",1000000
"A1675",1000000
"A1676",1000000
"A1677",1000000
"A1678",1000000
"A1680",1000000
"A1681",1000000
"A1683",1000000
"A1684",1000000
"A1685",1000000
"A1686",1000000
"A1688",1000000
"A1689",1000000
"A1690",1000000
"A1691",1000000
"A1692",1000000
"A1693",1000000
"A1694",1000000
"A1695",1000000
"A1696",1000000
"A1697",1000000
"A1698",1000000
"A1700",1000000
"A1701",1000000
"A1702",1000000
"A1703",1000000
"A1704",1000000
"A1705",1000000
"A1706",1000000
"A1707",1000000
"A1708",1000000
"A1709",1000000
"A1710",1000000
"A1711",1000000
"A1712",1000000
"A1713",1000000
"A1714",1000000
"A1715",1000000
"A1716",1000000
"A1717",1000000
"A1719",1000000
"A1720",1000000
"A1723",1000000
"A1721",1000000
"A1722",1000000
"A1724",1000000
"A1725",1000000
"A1726",1000000
"A1727",1000000
"A1728",1000000
"A1729",1000000
"A1730",1000000
"A1731",1000000
"A1732",1000000
"A1733",1000000
"A1734",1000000
"A1735",1000000
"A1736",1000000
"A1737",1000000
"A1738",1000000
"A1739",1000000
"A1740",1000000
"A1741",1000000
"A1742",1000000
"A1743",1000000
"A1744",1000000
"A1745",1000000
"A1746",1000000
"A1747",1000000
"A1748",1000000
"A1749",1000000
"A1750",1000000
"A1751",1000000
"A1752",1000000
"A1753",1000000
"A1754",1000000
"A1755",1000000
"A1756",1000000
"A1757",1000000
"A1758",1000000
"A1759",1000000
"A1760",1000000
"A1761",1000000
"A1762",1000000
"A1763",1000000
"A1764",1000000
"A1765",1000000
"A1766",1000000
"A1767",1000000
"A1768",1000000
"A1769",1000000
"A1770",1000000
"A1771",1000000
"A1772",1000000
"A1773",1000000
"A1774",1000000
"A1775",1000000
"A1776",1000000
"A1777",1000000
"A1778",1000000
"A1779",1000000
"A1780",1000000
"A1781",1000000
"A1782",1000000
"A1783",1000000
"A1784",1000000
"A1785",1000000
"A1786",1000000
"A1787",1000000
"A1788",1000000
"A1789",1000000
"A1790",1000000
"A1791",1000000
"A1792",1000000
"A1793",1000000
"A1794",1000000
"A1795",1000000
"A1796",1000000
"A1797",1000000
"A1798",1000000
"A1799",1000000
"A1800",1000000
"A1801",1000000
"A1802",1000000
"A1804",1000000
"A1805",1000000
"A1806",1000000
"A1807",1000000
"A1808",1000000
"A1809",1000000
"A1810",1000000
"A1811",1000000
"A1812",1000000
"A1813",1000000
"A1815",1000000
"A1816",1000000
"A1817",1000000
"A1818",1000000
"A1819",1000000
"A1820",1000000
"A1821",1000000
"A1822",1000000
"A1823",1000000
"A1824",1000000
"A1825",1000000
"A1826",1000000
"A1827",1000000
"A1828",1000000
"A1829",1000000
"A1830",1000000
"A1831",1000000
"A1832",1000000
"A1834",1000000
"A1835",1000000
"A1836",1000000
"A1837",1000000
"A1838",1000000
"A1839",1000000
"A1840",1000000
"A1883",1000000
"A1841",1000000
"A1842",1000000
"A1843",1000000
"A1844",1000000
"A1845",1000000
"A1846",1000000
"A1847",1000000
"A1848",1000000
"A1849",1000000
"A1850",1000000
"A1851",1000000
"A1852",1000000
"A1853",1000000
"A1854",1000000
"A1855",1000000
"A1856",1000000
"A1857",1000000
"A1858",1000000
"A1859",1000000
"A1860",1000000
"A1861",1000000
"A1862",1000000
"A1863",1000000
"A1864",1000000
"A1865",1000000
"A1866",1000000
"A1867",1000000
"A1868",1000000
"A1869",1000000
"A1870",1000000
"A1871",1000000
"A1872",1000000
"A1873",1000000
"A1874",1000000
"A1875",1000000
"A1877",1000000
"A1878",1000000
"A1880",1000000
"A1881",1000000
"A1882",1000000
"A1884",1000000
"A1885",1000000
"A1886",1000000
"A1887",1000000
"A1888",1000000
"A1889",1000000
"A1890",1000000
"A1891",1000000
"A1892",1000000
"A1893",1000000
"A1894",1000000
"A1895",1000000
"A1896",1000000
"A1897",1000000
"A1898",1000000
"A1899",1000000
"A1900",1000000
"A1901",1000000
"A1902",1000000
"A1903",1000000
"A1904",1000000
"A1905",1000000
"A1906",1000000
"A1907",1000000
"A1908",1000000
"A1909",1000000
"A1910",1000000
"A1911",1000000
"A1912",1000000
"A1913",1000000
"A1914",1000000
"A1915",1000000
"A1916",1000000
"A1917",1000000
"A1918",1000000
"A1919",1000000
"A1920",1000000
"A1921",1000000
"A1922",1000000
"A1924",1000000
"A1925",1000000
"A1926",1000000
"A1935",1000000
"A1928",1000000
"A1929",1000000
"A1930",1000000
"A1931",1000000
"A1932",1000000
"A1933",1000000
"A1934",1000000
"A1936",1000000
"A1937",1000000
"A1938",1000000
"A1939",1000000
"A1940",1000000
"A1941",1000000
"A1942",1000000
"A1943",1000000
"A1944",1000000
"A1945",1000000
"A1946",1000000
"A1947",1000000
"A1948",1000000
"A1949",1000000
"A1950",1000000
"A1951",1000000
"A1952",1000000
"A1953",1000000
"A1954",1000000
"A1955",1000000
"A1956",1000000
"A1957",1000000
"A1958",1000000
"A1959",1000000
"A1960",1000000
"A1961",1000000
"A1962",1000000
"A1964",1000000
"A1965",1000000
"A1966",1000000
"A1967",1000000
"A1968",1000000
"A1969",1000000
"A1970",1000000
"A1971",1000000
"A1972",1000000
"A1973",1000000
"A1974",1000000
"A1975",1000000
"A1976",1000000
"A1977",1000000
"A1978",1000000
"A1979",1000000
"A1980",1000000
"A1981",1000000
"A1982",1000000
"A1983",1000000
"A1984",1000000
"A1985",1000000
"A1986",1000000
"A1987",1000000
"A1988",1000000
"A1989",1000000
"A1990",1000000
"A1991",1000000
"A1992",1000000
"A1993",1000000
"A1994",1000000
"A1996",1000000
"A1997",1000000
"A1998",1000000
"A1999",1000000
"A2000",1000000
"A2001",1000000
"A2002",1000000
"A2003",1000000
"A2004",1000000
"A2005",1000000
"A2006",1000000
"A2007",1000000
"A2008",1000000
"A2009",1000000
"A2010",1000000
"A2011",1000000
"A2012",1000000
"A2013",1000000
"A2014",1000000
"A2015",1000000
